id	cat	testId	ssim
3320429	g4sa	q95.jxl.y	 0.9980
3320429	g4sa	q95.jxl.r	 0.9965
3320429	g4sa	q95.jxl.g	 0.9975
3320429	g4sa	q95.jxl.b	 0.9955
3320429	g4sa	q95p.jpg.y	 0.9979
3320429	g4sa	q95p.jpg.r	 0.9964
3320429	g4sa	q95p.jpg.g	 0.9974
3320429	g4sa	q95p.jpg.b	 0.9955
3320429	g4sa	q95p.jxl.y	 0.9980
3320429	g4sa	q95p.jxl.r	 0.9965
3320429	g4sa	q95p.jxl.g	 0.9975
3320429	g4sa	q95p.jxl.b	 0.9955
3320429	g4sa	q95.webp.y	 0.9990
3320429	g4sa	q95.webp.r	 0.9905
3320429	g4sa	q95.webp.g	 0.9970
3320429	g4sa	q95.webp.b	 0.9889
3381599	g4sa	d1.jxl.y	 0.9977
3381599	g4sa	d1.jxl.r	 0.9963
3381599	g4sa	d1.jxl.g	 0.9924
3381599	g4sa	d1.jxl.b	 0.9764
3381599	g4sa	d2.jxl.y	 0.9962
3381599	g4sa	d2.jxl.r	 0.9936
3381599	g4sa	d2.jxl.g	 0.9889
3381599	g4sa	d2.jxl.b	 0.9682
3381599	g4sa	p56.webp.y	 0.9984
3381599	g4sa	p56.webp.r	 0.9937
3381599	g4sa	p56.webp.g	 0.9935
3381599	g4sa	p56.webp.b	 0.9901
3381599	g4sa	q90.avif.y	 0.9994
3381599	g4sa	q90.avif.r	 0.9988
3381599	g4sa	q90.avif.g	 0.9989
3381599	g4sa	q90.avif.b	 0.9983
3381599	g4sa	q95.jpg.y	 0.9979
3381599	g4sa	q95.jpg.r	 0.9967
3381599	g4sa	q95.jpg.g	 0.9959
3381599	g4sa	q95.jpg.b	 0.9955
3381599	g4sa	q95.jxl.y	 0.9980
3381599	g4sa	q95.jxl.r	 0.9970
3381599	g4sa	q95.jxl.g	 0.9962
3381599	g4sa	q95.jxl.b	 0.9963
3381599	g4sa	q95p.jpg.y	 0.9979
3381599	g4sa	q95p.jpg.r	 0.9967
3381599	g4sa	q95p.jpg.g	 0.9958
3381599	g4sa	q95p.jpg.b	 0.9955
3381599	g4sa	q95p.jxl.y	 0.9980
3381599	g4sa	q95p.jxl.r	 0.9970
3381599	g4sa	q95p.jxl.g	 0.9962
3381599	g4sa	q95p.jxl.b	 0.9963
3381599	g4sa	q95.webp.y	 0.9984
3381599	g4sa	q95.webp.r	 0.9938
3381599	g4sa	q95.webp.g	 0.9935
3381599	g4sa	q95.webp.b	 0.9901
3314712	skec	d1.jxl.y	 0.9797
3314712	skec	d1.jxl.r	 0.9683
3314712	skec	d1.jxl.g	 0.9761
3314712	skec	d1.jxl.b	 0.9656
3314712	skec	d2.jxl.y	 0.9613
3314712	skec	d2.jxl.r	 0.9500
3314712	skec	d2.jxl.g	 0.9557
3314712	skec	d2.jxl.b	 0.9437
3314712	skec	p56.webp.y	 0.9908
3314712	skec	p56.webp.r	 0.9792
3314712	skec	p56.webp.g	 0.9882
3314712	skec	p56.webp.b	 0.9779
3314712	skec	q90.avif.y	 0.9903
3314712	skec	q90.avif.r	 0.9856
3314712	skec	q90.avif.g	 0.9874
3314712	skec	q90.avif.b	 0.9837
3314712	skec	q95.jpg.y	 0.9821
3314712	skec	q95.jpg.r	 0.9773
3314712	skec	q95.jpg.g	 0.9790
3314712	skec	q95.jpg.b	 0.9754
3314712	skec	q95.jxl.y	 0.9820
3314712	skec	q95.jxl.r	 0.9793
3314712	skec	q95.jxl.g	 0.9798
3314712	skec	q95.jxl.b	 0.9777
3314712	skec	q95p.jpg.y	 0.9821
3314712	skec	q95p.jpg.r	 0.9773
3314712	skec	q95p.jpg.g	 0.9790
3314712	skec	q95p.jpg.b	 0.9754
3314712	skec	q95p.jxl.y	 0.9820
3314712	skec	q95p.jxl.r	 0.9793
3314712	skec	q95p.jxl.g	 0.9798
3314712	skec	q95p.jxl.b	 0.9777
3314712	skec	q95.webp.y	 0.9845
3314712	skec	q95.webp.r	 0.9732
3314712	skec	q95.webp.g	 0.9815
3314712	skec	q95.webp.b	 0.9712
3400507	skec	d1.jxl.y	 0.9789
3400507	skec	d1.jxl.r	 0.9388
3400507	skec	d1.jxl.g	 0.9701
3400507	skec	d1.jxl.b	 0.9263
3400507	skec	d2.jxl.y	 0.9585
3400507	skec	d2.jxl.r	 0.9153
3400507	skec	d2.jxl.g	 0.9476
3400507	skec	d2.jxl.b	 0.8928
3400507	skec	p56.webp.y	 0.9918
3400507	skec	p56.webp.r	 0.9643
3400507	skec	p56.webp.g	 0.9835
3400507	skec	p56.webp.b	 0.9243
3400507	skec	q90.avif.y	 0.9916
3400507	skec	q90.avif.r	 0.9792
3400507	skec	q90.avif.g	 0.9864
3400507	skec	q90.avif.b	 0.9802
3400507	skec	q95.jpg.y	 0.9815
3400507	skec	q95.jpg.r	 0.9683
3400507	skec	q95.jpg.g	 0.9759
3400507	skec	q95.jpg.b	 0.9679
3400507	skec	q95.jxl.y	 0.9813
3400507	skec	q95.jxl.r	 0.9693
3400507	skec	q95.jxl.g	 0.9769
3400507	skec	q95.jxl.b	 0.9708
3400507	skec	q95p.jpg.y	 0.9814
3400507	skec	q95p.jpg.r	 0.9682
3400507	skec	q95p.jpg.g	 0.9759
3400507	skec	q95p.jpg.b	 0.9679
3400507	skec	q95p.jxl.y	 0.9813
3400507	skec	q95p.jxl.r	 0.9693
3400507	skec	q95p.jxl.g	 0.9769
3400507	skec	q95p.jxl.b	 0.9708
3400507	skec	q95.webp.y	 0.9864
3400507	skec	q95.webp.r	 0.9579
3400507	skec	q95.webp.g	 0.9773
3400507	skec	q95.webp.b	 0.9193
